    0.43952E+00    0.35891E+03
    0.44464E+00    0.35017E+03
    0.44976E+00    0.34159E+03
    0.45488E+00    0.33322E+03
    0.46001E+00    0.32513E+03
    0.46513E+00    0.31736E+03
    0.47025E+00    0.30993E+03
    0.47537E+00    0.30281E+03
    0.48049E+00    0.29600E+03
    0.48561E+00    0.28945E+03
    0.49073E+00    0.28312E+03
    0.49585E+00    0.27697E+03
    0.50098E+00    0.27096E+03
    0.50610E+00    0.26508E+03
    0.51122E+00    0.25934E+03
    0.51634E+00    0.25374E+03
    0.52146E+00    0.24830E+03
    0.52658E+00    0.24303E+03
    0.53170E+00    0.23792E+03
    0.53682E+00    0.23300E+03
    0.54195E+00    0.22824E+03
    0.54707E+00    0.22363E+03
    0.55155E+00    0.21972E+03
    0.57361E+00    0.20169E+03
    0.59655E+00    0.18494E+03
    0.62041E+00    0.16960E+03
    0.77479E+00    0.10299E+03
    0.96760E+00    0.61826E+02
    0.12084E+01    0.36734E+02
    0.15091E+01    0.21622E+02
    0.18846E+01    0.12620E+02
    0.23536E+01    0.73101E+01
    0.29393E+01    0.42048E+01
    0.36707E+01    0.24034E+01
    0.45842E+01    0.13658E+01
    0.57250E+01    0.77200E+00
    0.71496E+01    0.43425E+00
    0.89288E+01    0.24316E+00
    0.11151E+02    0.13559E+00
    0.13926E+02    0.75314E-01
    0.17391E+02    0.41679E-01
    0.21719E+02    0.22985E-01
    0.27123E+02    0.12632E-01
    0.33873E+02    0.69192E-02
    0.42302E+02    0.37766E-02
    0.52829E+02    0.20535E-02
    0.65976E+02    0.11117E-02
    0.82393E+02    0.59862E-03
    0.10290E+03    0.32012E-03
    0.12850E+03    0.16962E-03
    0.16048E+03    0.88736E-04
    0.20042E+03    0.45622E-04
    0.25029E+03    0.22918E-04
    0.31257E+03    0.11186E-04
    0.39036E+03    0.52917E-05
    0.48750E+03    0.24417E-05
    0.60881E+03    0.11212E-05
    0.76031E+03    0.52777E-06
    0.94951E+03    0.25840E-06
    0.11858E+04    0.12763E-06
    0.14809E+04    0.62125E-07
    0.18494E+04    0.31565E-07
    0.23096E+04    0.16254E-07
    0.28844E+04    0.83747E-08
    0.36021E+04    0.43350E-08
    0.44985E+04    0.22745E-08
    0.56180E+04    0.11936E-08
    0.70160E+04    0.63299E-09
    0.87619E+04    0.33175E-09
    0.10942E+05    0.17576E-09
